turn,execution,tmig,batteryenergy,temp1,temp2,mig,core,dtime,latency
0,0,0,27995,32,44,0,2,44,3
0,0,0,27995,32,44,0,2,44,4
0,0,0,27997,32,44,0,2,46,0
0,0,0,27997,32,44,0,2,46,2
0,0,0,27997,32,44,0,2,46,3
0,0,0,27997,32,44,0,2,46,4
0,0,0,27997,35,32,0,1,50,0
0,0,0,27997,35,32,0,1,50,1
0,0,0,27997,35,32,0,1,50,2
0,0,0,27997,35,32,0,1,50,3
0,0,0,27997,35,32,0,1,50,4
0,0,0,27998,35,32,0,1,49,0
0,0,0,27998,35,32,0,1,49,1
0,0,0,27998,35,32,0,1,49,2
0,0,0,27998,35,32,0,1,49,3
0,0,0,27998,35,32,0,1,49,4
0,0,0,27999,32,44,0,2,48,0
0,0,0,27999,32,44,0,2,48,2
0,0,0,27999,32,44,0,2,48,3
0,0,0,27999,32,44,0,2,48,4
0,0,0,27999,35,32,0,1,48,0
0,0,0,27999,35,32,0,1,48,1
0,0,0,27999,35,32,0,1,48,2
0,0,0,27999,35,32,0,1,48,3
0,0,0,27999,35,32,0,1,48,4
0,0,0,28000,32,44,0,2,43,0
0,0,0,28000,32,44,0,2,43,2
0,0,0,28000,32,44,0,2,43,3
0,0,0,28000,32,44,0,2,43,4
0,0,0,28000,35,32,0,1,47,0
0,0,0,28000,35,32,0,1,47,1
0,0,0,28000,35,32,0,1,47,2
0,0,0,28000,35,32,0,1,47,3
0,0,0,28000,35,32,0,1,47,4
0,0,0,28001,32,44,0,2,50,0
0,0,0,28001,32,44,0,2,50,2
0,0,0,28001,32,44,0,2,50,3
0,0,0,28001,32,44,0,2,50,4
0,0,0,28001,35,32,0,1,46,0
0,0,0,28001,35,32,0,1,46,1
0,0,0,28001,35,32,0,1,46,2
0,0,0,28001,35,32,0,1,46,3
0,0,0,28001,35,32,0,1,46,4
0,0,0,28002,32,44,0,2,45,0
0,0,0,28002,32,44,0,2,45,2
0,0,0,28002,32,44,0,2,45,3
0,0,0,28002,32,44,0,2,45,4
0,0,0,28002,35,32,0,1,45,0
0,0,0,28002,35,32,0,1,45,1
0,0,0,28002,35,32,0,1,45,2
0,0,0,28002,35,32,0,1,45,3
0,0,0,28002,35,32,0,1,45,4
0,0,0,28003,35,32,0,1,44,0
0,0,0,28003,35,32,0,1,44,1
0,0,0,28003,35,32,0,1,44,2
0,0,0,28003,35,32,0,1,44,3
0,0,0,28003,35,32,0,1,44,4
0,0,0,28004,32,44,0,2,47,0
0,0,0,28004,32,44,0,2,47,2
0,0,0,28004,32,44,0,2,47,3
0,0,0,28004,32,44,0,2,47,4
0,0,0,28004,35,32,0,1,43,0
0,0,0,28004,35,32,0,1,43,1
0,0,0,28004,35,32,0,1,43,2
0,0,0,28004,35,32,0,1,43,3
0,0,0,28004,35,32,0,1,43,4
0,0,0,28005,32,44,0,2,42,0
0,0,0,28005,32,44,0,2,42,2
0,0,0,28005,32,44,0,2,42,3
0,0,0,28005,32,44,0,2,42,4
0,0,0,28006,32,44,0,2,49,0
0,0,0,28006,32,44,0,2,49,2
0,0,0,28006,32,44,0,2,49,3
0,0,0,28006,32,44,0,2,49,4
0,0,0,28007,32,44,0,2,44,0
0,0,0,28007,32,44,0,2,44,2
0,0,0,28007,32,44,0,2,44,3
0,0,0,28007,32,44,0,2,44,4
0,0,0,28009,32,44,0,2,46,0
0,0,0,28009,32,44,0,2,46,2
0,0,0,28009,32,44,0,2,46,3
0,0,0,28009,32,44,0,2,46,4
0,0,0,28009,35,32,0,1,50,0
0,0,0,28009,35,32,0,1,50,1
0,0,0,28009,35,32,0,1,50,2
0,0,0,28009,35,32,0,1,50,3
0,0,0,28009,35,32,0,1,50,4
0,0,0,28010,32,44,0,2,41,0
0,0,0,28010,32,44,0,2,41,2
0,0,0,28010,32,44,0,2,41,3
0,0,0,28010,32,44,0,2,41,4
0,0,0,28010,32,44,0,2,50,0
0,0,0,28010,32,44,0,2,50,2
0,0,0,28010,32,44,0,2,50,3
0,0,0,28010,32,44,0,2,50,4
0,0,0,28010,35,32,0,1,49,0
0,0,0,28010,35,32,0,1,49,1
0,0,0,28010,35,32,0,1,49,2
0,0,0,28010,35,32,0,1,49,3
0,0,0,28010,35,32,0,1,49,4
